service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership,ObjectId
2017-04-01T04:00:00.000Z,Bus,Bus,6911721,20,345586.1,1
2017-04-01T04:00:00.000Z,Bus,Silver Line,681787,20,34089.4,2
2017-04-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2438211,20,121910.6,3
2017-04-01T04:00:00.000Z,Ferry,Boat-F1,61364,20,3068.2,4
2017-04-01T04:00:00.000Z,Ferry,Boat-F4,38199,20,1910,5
2017-04-01T04:00:00.000Z,Rail,Blue Line,1457503,20,72875.2,6
2017-04-01T04:00:00.000Z,Rail,Green Line,3806254,20,190312.7,7
2017-04-01T04:00:00.000Z,Rail,Orange Line,4311548,20,215577.4,8
2017-04-01T04:00:00.000Z,Rail,Red Line,5273279,20,263663.9,9
2017-04-01T04:00:00.000Z,The RIDE,The RIDE,141060,20,7053,10
2017-05-01T04:00:00.000Z,Bus,Bus,7945267,22,361148.5,11
2017-05-01T04:00:00.000Z,Bus,Silver Line,777613,22,35346,12
2017-05-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2674877,22,121585.3,13
2017-05-01T04:00:00.000Z,Ferry,Boat-F1,82776,21,3941.7,14
2017-05-01T04:00:00.000Z,Ferry,Boat-F4,42398,21,2019,15
2017-05-01T04:00:00.000Z,Rail,Blue Line,1597468,22,72612.2,16
2017-05-01T04:00:00.000Z,Rail,Green Line,3855004,22,175227.4,17
2017-05-01T04:00:00.000Z,Rail,Orange Line,4698525,22,213569.3,18
2017-05-01T04:00:00.000Z,Rail,Red Line,5760641,22,261847.3,19
2017-05-01T04:00:00.000Z,The RIDE,The RIDE,154184,22,7008.4,20
2017-06-01T04:00:00.000Z,Bus,Bus,7767120,22,353050.9,21
2017-06-01T04:00:00.000Z,Bus,Silver Line,766040,22,34820,22
2017-06-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2779103,22,126322.9,23
2017-06-01T04:00:00.000Z,Ferry,Boat-F1,47836,22,2174.4,24
2017-06-01T04:00:00.000Z,Ferry,Boat-F4,71120,22,3232.7,25
2017-06-01T04:00:00.000Z,Rail,Blue Line,1685819,22,76628.1,26
2017-06-01T04:00:00.000Z,Rail,Green Line,3958035,22,179910.7,27
2017-06-01T04:00:00.000Z,Rail,Orange Line,4714243,22,214283.8,28
2017-06-01T04:00:00.000Z,Rail,Red Line,5773775,22,262444.3,29
2017-06-01T04:00:00.000Z,The RIDE,The RIDE,148220,22,6737.3,30
2017-07-01T04:00:00.000Z,Bus,Bus,6928956,21,329950.3,31
2017-07-01T04:00:00.000Z,Bus,Silver Line,760559,21,36217.1,32
2017-07-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2698676,20,134933.8,33
2017-07-01T04:00:00.000Z,Ferry,Boat-F1,70720,20,3536,34
2017-07-01T04:00:00.000Z,Ferry,Boat-F4,65458,20,3272.9,35
2017-07-01T04:00:00.000Z,Rail,Blue Line,1513659,20,75682.9,36
