"","stop_id","stop_name","latitude","longitude"
"1",70061,"Alewife",42.395428,-71.142483
"2",70126,"Allston Street",42.348649,-71.137881
"3",70083,"Andrew",42.330154,-71.057655
"4",70047,"Airport",42.374262,-71.030395
"5",70043,"Aquarium",42.359784,-71.051652
"6",70156,"Arlington",42.351902,-71.070893
"7",70093,"Ashmont",42.284239,-71.063601
"8",70278,"Assembly",42.392811,-71.077257
"9",70136,"Babcock Street",42.351776,-71.12153
"10",70014,"Back Bay",42.34735,-71.075727
"11",70257,"Back of the Hill",42.329369,-71.111046
"12",70176,"Beaconsfield",42.335809,-71.140841
"13",70229,"Washington Square",42.339471,-71.135139
"14",70148,"Blandford Street",42.349165,-71.099821
"15",70055,"Beachmont",42.397542,-70.992319
"16",70225,"Brandon Hall",42.340053,-71.128869
"17",70038,"Bowdoin",42.361365,-71.062037
"18",70158,"Boylston",42.352531,-71.064682
"19",70081,"Broadway",42.342622,-71.056967
"20",70134,"Packards Corner",42.351891,-71.125067
"21",70178,"Brookline Hills",42.331238,-71.127012
"22",70249,"Brigham Circle",42.334331,-71.104487
"23",70105,"Braintree",42.208371,-71.001423
"24",70144,"Boston University Central",42.350013,-71.106902
"25",70146,"Boston University East",42.349659,-71.103989
"26",70265,"Butler",42.272343,-71.062585
"27",70142,"Boston University West",42.350765,-71.113133
"28",70180,"Brookline Village",42.332838,-71.116234
"29",70273,"Capen Street",42.267712,-71.087751
"30",70028,"Community College",42.373622,-71.069533
"31",70263,"Cedar Grove",42.27968,-71.060434
"32",70269,"Central Avenue",42.270027,-71.073337
"33",70172,"Chestnut Hill",42.326633,-71.165299
"34",70112,"Chestnut Hill Avenue",42.33873,-71.152526
"35",70073,"Charles/MGH",42.361166,-71.070628
"36",70018,"Chinatown",42.352547,-71.062752
"37",70114,"Chiswick Road",42.340808,-71.150633
"38",70237,"Cleveland Circle",42.336216,-71.149201
"39",70069,"Central",42.365304,-71.103621
"40",70154,"Copley",42.349871,-71.078049
"41",70219,"Coolidge Corner",42.342274,-71.120915
"42",70063,"Davis",42.39674,-71.121815
"43",70233,"Dean Road",42.337807,-71.141753
"44",70020,"Downtown Crossing",42.355518,-71.060225
"45",70166,"Eliot",42.318957,-71.216776
"46",70235,"Englewood Avenue",42.336964,-71.145867
"47",70227,"Fairbanks Street",42.33969,-71.131228
"48",70251,"Fenwood Road",42.33374,-71.105721
